area_type,availability,location,size,hall_present,bath,balcony,total_sqft,price
Built-up  Area,Ready To Move,Uttarahalli,2,1,2,2,1143,45
Built-up  Area,Ready To Move,Murugeshpalya,2,1,2,2,1296,81
Super built-up  Area,19-Dec,Sarjapur  Road,3,1,3,2,1254,38
Super built-up  Area,Ready To Move,Ganga Nagar,1,1,1,0,600,38
Plot  Area,Ready To Move,Yelahanka,1,1,1,0,660,48
Super built-up  Area,19-Sep,Kanakpura Road,2,1,2,2,1330.74,91.79
Plot  Area,Ready To Move,HSR Layout,8,1,9,2,600,200
Super built-up  Area,Ready To Move,Doddathoguru,2,1,2,0,970,33
Super built-up  Area,20-Sep,Whitefield,2,1,2,1,1459,94.82
Plot  Area,Ready To Move,KR Puram,2,1,1,1,800,130
Built-up  Area,Ready To Move,Himagiri Meadows,2,1,2,1,869,36
Super built-up  Area,Ready To Move,Adarsh Nagar,2,1,2,1,1270,50
Super built-up  Area,18-Mar,Bhoganhalli,3,1,3,1,1670,99
Built-up  Area,Ready To Move,Whitefield,3,1,3,2,2010,91
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,1,2,2,1185,75
Super built-up  Area,Ready To Move,Yelahanka,3,1,2,3,1600,75
Super built-up  Area,Ready To Move,Begur Road,2,1,2,2,1200,44
Built-up  Area,20-Feb,Devanahalli,4,1,5,2,3210,192
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2,1,2,2,1500,185
Plot  Area,Ready To Move,Murugeshpalya,6,1,4,1,1407,150
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2,1,2,2,840,45
Plot  Area,Ready To Move,Tharabanahalli,3,1,3,2,4395,240
Super built-up  Area,Ready To Move,Ganga Nagar,2,1,2,1,845,55
Plot  Area,Ready To Move,Whitefield,4,1,5,3,5700,650
Built-up  Area,Ready To Move,Varthur,2,1,2,2,1160,44
Built-up  Area,Ready To Move,Bommanahalli,8,1,8,0,3000,140
Super built-up  Area,Ready To Move,Doddathoguru,2,1,2,1,1100,62
Super built-up  Area,18-Apr,Gunjur,2,1,2,3,1140,43
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,1,1220,57
Plot  Area,Ready To Move,Devarachikkanahalli,8,1,7,0,1350,85
Super built-up  Area,Ready To Move,Kanakpura Road,2,1,2,1,1005,36.68
Plot  Area,Ready To Move,Double Road,3,1,3,2,500,100
Super built-up  Area,20-Aug,Begur Road,2,1,2,1,1358,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,3,1,1569,101
Super built-up  Area,18-Apr,Haralur Road,2,1,2,1,1240,70
Super built-up  Area,Ready To Move,Hennur Road,3,1,3,2,2089,140
Super built-up  Area,Ready To Move,Kothannur,2,1,2,1,1206,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1,2,3,1150,40
Built-up  Area,Ready To Move,Cholanayakanahalli,3,1,3,3,2511,205
Built-up  Area,Ready To Move,Kaval Byrasandra,2,1,1,0,460,22
Built-up  Area,Ready To Move,ISRO Layout,6,1,6,3,4400,250
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3,1,2,2,1660,105
Built-up  Area,18-Oct,Hennur Road,4,1,5,2,3203.5,224.5
Super built-up  Area,19-Mar,Yelahanka,2,1,2,2,1326,78
Super built-up  Area,Ready To Move,Garudachar Palya,3,1,2,2,1325,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3,1,5,2,1499,102
Built-up  Area,Ready To Move,Hegde Nagar,6,1,7,2,3000,210
Super built-up  Area,Ready To Move,Kanakpura Road,3,1,3,2,1665,88
Super built-up  Area,17-Sep,Dasanapura,2,1,2,2,708,37
Super built-up  Area,Ready To Move,Kasavanhalli,2,1,2,2,1060,58.06
Plot  Area,Ready To Move,Rajaji Nagar,6,1,6,3,710,160
Built-up  Area,Ready To Move,Sanjay nagar,2,1,2,2,1000,70
Super built-up  Area,18-Dec,Electronic City,2,1,2,1,1000,28.88
Super built-up  Area,Ready To Move, Mysore Highway,3,1,2,2,1450,70
Plot  Area,Ready To Move,ISRO Layout,4,1,4,2,1200,155
Super built-up  Area,17-Aug,Thanisandra,2,1,2,3,1296,80
Super built-up  Area,Ready To Move,Domlur,3,1,3,2,1540,90
Plot  Area,Ready To Move,Kengeri,4,1,4,1,2894,245
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1,2,1,1330,48
Built-up  Area,Ready To Move,Devasthanagalu,2,1,2,1,1200,65
Built-up  Area,Ready To Move,T Dasarahalli,3,1,3,1,1200,90
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1,3,3,2502,138
Built-up  Area,Ready To Move,Chandapura,2,1,1,1,650,17
Plot  Area,Ready To Move,Kothanur,3,1,2,1,2400,150
Super built-up  Area,Ready To Move,Green View Layout,2,1,2,2,1007,43
Super built-up  Area,Ready To Move,Shantiniketan Layout,2,1,2,2,1200,50
Super built-up  Area,Ready To Move,Peenya,2,1,2,2,966,49.9
Built-up  Area,Ready To Move,Nagarbhavi,3,1,2,1,1630,98
Built-up  Area,Ready To Move,Rajaji Nagar,3,1,3,2,1640,229
Built-up  Area,Ready To Move,Jalahalli West,2,1,2,2,782,55.68
Super built-up  Area,19-Apr,Devanahalli,2,1,2,2,1260,66.78
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3,1,3,3,1800,120
Super built-up  Area,Ready To Move,Byatarayanapura,3,1,2,2,1413,75
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1116,51.91
Super built-up  Area,Ready To Move,Electronic City,3,1,2,1,1530,45.9
Built-up  Area,Ready To Move,Ramamurthy Nagar,4,1,4,1,3700,225
Built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,2,2497,140
Super built-up  Area,Ready To Move,Kengeri,3,1,2,3,1540,64
Super built-up  Area,18-Dec,Thanisandra,3,1,3,1,1436,74.75
Super built-up  Area,18-Jun,Malleshwaram,2,1,2,2,1100,75
Plot  Area,Ready To Move,Hennur Road,2,1,3,3,276,23
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,2,1427,120
Super built-up  Area,Ready To Move,Akshaya Nagar,3,1,3,1,2061,200
Super built-up  Area,18-Mar,Hebbal,4,1,4,0,5611.5,477
Built-up  Area,Ready To Move,Shampura,4,1,4,2,2650,150
Super built-up  Area,22-Dec,Devanahalli,3,1,2,2,1282,68.52
Built-up  Area,Ready To Move,Kadugodi,2,1,2,1,1050,34
Built-up  Area,Ready To Move,LB Shastri Nagar,3,1,3,2,1600,65
Super built-up  Area,22-Jan,Vajarahalli,2,1,2,1,945,54
Super built-up  Area,Ready To Move,Hormavu,2,1,2,1,1500,78
Plot  Area,Ready To Move,Vishwapriya Layout,7,1,7,0,950,115
Built-up  Area,Ready To Move,Peenya,3,1,3,3,1870,110
Plot  Area,Ready To Move,Sarjapur,3,1,3,1,1600,75
Super built-up  Area,Ready To Move,Electronic City,2,1,1,1,880,16.5
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4,1,4,0,1200,210
Super built-up  Area,Ready To Move,Kudlu Gate,3,1,3,2,1535,83
Built-up  Area,Ready To Move,Kanakpura Road,2,1,2,1,950,57
Super built-up  Area,18-Aug,Devanahalli,2,1,2,1,1360,65
Super built-up  Area,19-Mar,8th Phase JP Nagar,2,1,2,0,1073.5,54.005
Super built-up  Area,18-May,Bommasandra Industrial Area,3,1,3,1,1280,50.4
Super built-up  Area,19-Jan,Chandra Layout,3,1,2,2,1260,85.05
Built-up  Area,Ready To Move,Hennur Road,8,1,8,2,5000,250
Super built-up  Area,19-Dec,Yelahanka,5,1,5,1,3050,213
Super built-up  Area,Ready To Move,Kasavanhalli,3,1,3,1,1563.05,105
Super built-up  Area,Ready To Move,ISRO Layout,2,1,2,1,1000,60
Super built-up  Area,17-Jul,Anandapura,2,1,2,1,1167,43.76
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7,1,7,2,4000,225
Super built-up  Area,Ready To Move,Kothanur,3,1,3,2,1828,110
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2,1,2,1,890,35
Super built-up  Area,Ready To Move,Basavanapura,3,1,3,3,1612,46.74
Plot  Area,Ready To Move,Dinnur,6,1,5,2,1034,185
Super built-up  Area,19-Apr,Mysore Road,3,1,4,2,1710,91.31
Super built-up  Area,Ready To Move,Kannamangala,2,1,2,1,957,58
Super built-up  Area,18-May, Devarachikkanahalli,3,1,2,3,1250,44
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3,1,4,2,2795,235
Super built-up  Area,Ready To Move,Hulimavu,2,1,2,2,1125,50
Super built-up  Area,18-Jul,Electronic City Phase II,2,1,2,1,1020,30.6
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1,2,2,1200,50
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,3,1735,135
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,1,2050,145
Plot  Area,Ready To Move,Mahalakshmi Layout,4,1,4,0,3750,760
Built-up  Area,Ready To Move,Yarandahalli,3,1,2,3,1350,48
Super built-up  Area,18-May,Hosa Road,2,1,2,1,1063,32
Super built-up  Area,Ready To Move,Keshava Nagar,3,1,3,1,1904,150
Built-up  Area,Ready To Move,Whitefield,4,1,4,2,4200,420
Super built-up  Area,Ready To Move,RMV Extension,3,1,3,1,2000,175
Super built-up  Area,18-Dec,Sarjapur,2,1,2,0,1242.5,43.49
Super built-up  Area,Ready To Move,Tejaswini Nagar,3,1,2,2,1425,75
Super built-up  Area,Ready To Move,Electronic City,3,1,2,1,1500,64.5
Built-up  Area,Ready To Move,Electronic City,2,1,2,1,1060,60
Built-up  Area,Ready To Move,Jai Bheema Nagar,3,1,2,2,1470,70
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6,1,6,0,1300,99
Super built-up  Area,Ready To Move,Attibele,1,1,1,1,450,11
Super built-up  Area,18-Apr,Electronic City,2,1,2,1,1152,64.5
Super built-up  Area,Ready To Move,Electronic City,3,1,2,1,1350,56
Super built-up  Area,Ready To Move,CV Raman Nagar,3,1,3,3,1550,65
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3,1,3,2,1500,100
Plot  Area,Ready To Move,Kumaraswami Layout,5,1,3,2,600,85
Plot  Area,Ready To Move,Nagavara,1,1,1,0,400,14
Super built-up  Area,Ready To Move,Malleshwaram,1,1,1,2,705,67
Built-up  Area,Ready To Move,Electronic City,2,1,1,1,770,36
Super built-up  Area,Ready To Move,Hulimavu,2,1,2,3,1242,51
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,1,3,2,1700,155
Super built-up  Area,Ready To Move,Thanisandra,3,1,3,2,2144,145
Super built-up  Area,21-Jun,Vijayanagar,3,1,3,2,1704,110
Super built-up  Area,Ready To Move,Electronic City,2,1,2,1,1070,52
Plot  Area,Ready To Move,8th block Koramangala,3,1,3,2,1846,300
Super built-up  Area,Ready To Move,Jakkuru Layout,2,1,2,2,1340,55.7
Built-up  Area,Ready To Move,Electronic City,2,1,2,1,1025,46
Super built-up  Area,Ready To Move,KR Puram,2,1,2,0,1277.5,56.8
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,2,1200,52
Built-up  Area,18-Dec,Kanakpura Road,4,1,4,1,2250,110
Super built-up  Area,Ready To Move,Pattandur Agrahara,3,1,2,3,1550,80
Plot  Area,Ready To Move,Bellandur,4,1,5,2,1200,325
Plot  Area,Ready To Move,Ejipura,7,1,7,1,1800,250
Super built-up  Area,Ready To Move,Marathahalli,2,1,2,2,1200,60
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,2,1327,98
Super built-up  Area,Ready To Move,Kothanur,2,1,2,2,1186,58
Built-up  Area,Ready To Move,MS Pallya,3,1,3,1,1783,115
Super built-up  Area,Ready To Move,HSR Layout,3,1,3,2,1400,56
Super built-up  Area,Ready To Move,Nagasandra,2,1,2,1,980,48
Super built-up  Area,Ready To Move,EPIP Zone,2,1,2,2,1285,82
Super built-up  Area,Ready To Move,Langford Town,3,1,2,1,912,70
Built-up  Area,Ready To Move,Whitefield,2,1,2,2,1225,47.6
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1075,53
Built-up  Area,Ready To Move,Kadugodi,3,1,2,2,1260,54
Super built-up  Area,Ready To Move,Yelahanka,3,1,2,2,1282,48.7
Super built-up  Area,Ready To Move,Kogilu,3,1,3,2,1909,88
Super built-up  Area,Ready To Move,Panathur,2,1,2,1,1359,87
Built-up  Area,Ready To Move,Nagondanahalli,2,1,2,2,1207,43.5
Plot  Area,Ready To Move,Padmanabhanagar,4,1,6,0,1736,190
Super built-up  Area,20-May,1st Block Jayanagar,4,1,4,1,2850,428
Super built-up  Area,Ready To Move,Kammasandra,3,1,3,2,1595,65
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3,1,3,2,1798,89
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,1,3,2,1475,78.29
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3,1,3,3,1580,100
Super built-up  Area,Ready To Move,Dasarahalli,2,1,2,1,1295,65
Built-up  Area,Ready To Move,Magadi Road,6,1,6,0,3600,141
Super built-up  Area,Ready To Move,Electronic City,1,1,1,1,589,27
Super built-up  Area,Ready To Move,Ngef Layout,3,1,3,3,1415,78
Super built-up  Area,18-Dec,Sarjapur  Road,3,1,3,2,1787,98.29
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,2,1787,125
Super built-up  Area,Ready To Move,Koramangala,3,1,2,3,1475,90
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4,1,4,1,2000,75.5
Super built-up  Area,19-Mar,Sarjapur  Road,2,1,2,1,984,44.28
Super built-up  Area,19-Dec,Devanahalli,3,1,3,2,1630,74.82
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3,1,4,2,2405,260
Built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,2,1080,72
Plot  Area,Ready To Move,Shantiniketan Layout,2,1,2,1,1500,115
Super built-up  Area,Ready To Move,Hebbal,3,1,3,2,1900,119
Super built-up  Area,19-Aug,Dommasandra,2,1,2,1,805,22.14
Super built-up  Area,Ready To Move,Budigere,2,1,2,2,1153,56.4
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,1,2,2,1148,60
Super built-up  Area,Ready To Move,Mylasandra,2,1,2,2,1110,55
Built-up  Area,Ready To Move,Electronic City,2,1,2,2,1100,42
Super built-up  Area,Ready To Move,Kalyan nagar,2,1,2,2,1290,110
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3,1,2,1,1500,65
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2,1,2,2,1080,39
Super built-up  Area,21-Jun,Vijayanagar,3,1,3,1,1933,129
Built-up  Area,Ready To Move,Ramamurthy Nagar,5,1,5,2,3500,150
Built-up  Area,Ready To Move,Kullappa Colony,2,1,2,2,1060,60
Super built-up  Area,18-Aug,Chandapura,1,1,1,1,645,16.45
Plot  Area,Ready To Move,Mukkutam Nagar,8,1,8,2,2600,180
Super built-up  Area,18-Sep,Chandapura,1,1,1,1,645,16.45
Super built-up  Area,Ready To Move,Ashwath Nagar,3,1,3,3,1644,84
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2,1,2,3,1285,72.5
Plot  Area,Ready To Move,Electronic City,3,1,3,1,1200,90
Super built-up  Area,Ready To Move,Electronic City,2,1,2,1,910,40
Super built-up  Area,Ready To Move,Kothanur,3,1,3,1,1577,70
Plot  Area,17-May,Meenakunte,3,1,3,2,4050,280
Super built-up  Area,Ready To Move,OMBR Layout,3,1,3,2,2420,185
Super built-up  Area,Ready To Move,Chandapura,2,1,1,1,800,20
Built-up  Area,Ready To Move,Anand Nagar,2,1,2,2,1060,55
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,2,1270,93
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2,1,2,2,900,22.5
Built-up  Area,Ready To Move,Kundalahalli Colony,2,1,2,1,1280,69
Plot  Area,Ready To Move,Horamavu Agara,4,1,2,0,1200,95
Built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,2,1025,36
Super built-up  Area,17-Jun,Electronic City,2,1,2,1,1108,63
Plot  Area,Ready To Move,MCECHS  layout,5,1,5,2,1200,170
Super built-up  Area,Ready To Move,Coffee Board Layout,3,1,3,2,3045,170
Plot  Area,Ready To Move,Ambedkar Nagar,4,1,3,2,2900,300
Super built-up  Area,Ready To Move,Vijayanagar,3,1,3,2,1500,75.5
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1295,43.9
Super built-up  Area,Ready To Move,Budigere,2,1,2,1,1162,59.9
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,2,1035,49.2
Built-up  Area,Ready To Move,Attibele,4,1,4,0,1600,52.8
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,1,3,2,1464,46
Super built-up  Area,18-Oct,Hennur Road,3,1,2,2,1866,61.58
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2,1,1,1,700,26
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1,3,2,1804,120
Super built-up  Area,Ready To Move,Sarjapur,2,1,2,1,913,32
Super built-up  Area,21-Dec,Talaghattapura,3,1,3,2,1868,131
Built-up  Area,Ready To Move,Kengeri Satellite Town,2,1,2,1,883,45
Plot  Area,Ready To Move,Sundara Nagar,2,1,2,1,900,110
Super built-up  Area,Ready To Move,Kogilu,3,1,2,3,1664,73.95
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,3,2,2026,132
Super built-up  Area,Ready To Move,Balagere,2,1,2,1,1210,80.9
Plot  Area,Ready To Move,Meenakunte,4,1,4,2,4111,250
Super built-up  Area,Ready To Move,Kadugodi,3,1,3,3,1762,91.45
Super built-up  Area,Ready To Move,Jigani,3,1,3,3,1252,55
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2,1,2,1,861,34.5
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,2,1,1420,100
Plot  Area,Ready To Move,Srirampura,6,1,6,0,1450,250
Built-up  Area,Ready To Move,Electronics City Phase 1,3,1,3,1,1490,78.8
Super built-up  Area,Ready To Move,Bisuvanahalli,3,1,2,1,1075,46
Super built-up  Area,18-Aug,Old Madras Road,3,1,2,2,1425,94
Built-up  Area,Ready To Move,Kalena Agrahara,2,1,2,1,1200,40
Super built-up  Area,Ready To Move,Kaggadasapura,3,1,2,2,1280,56
Super built-up  Area,Ready To Move,Silver Springs Layout,2,1,2,2,1084,50
Super built-up  Area,18-Jul,Chandapura,2,1,2,2,1015,25.88
Super built-up  Area,21-May,Kanakpura Road,2,1,2,1,1017,51.25
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,2,1027,44
Super built-up  Area,Ready To Move,Electronic City Phase II,2,1,2,2,1069,45
Super built-up  Area,Ready To Move,Hebbal,2,1,2,1,1349,98.2
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2,1,2,1,1005,50
Super built-up  Area,Ready To Move,Jakkur,2,1,2,3,1417,75
Plot  Area,18-Jan,TC Palaya,3,1,3,1,1475,98
Carpet  Area,Ready To Move,Maruthi Sevanagar,2,1,2,2,950,47
Super built-up  Area,Ready To Move,RMV 2nd Stage,4,1,4,0,2000,120
Plot  Area,Ready To Move,Giri Nagar,3,1,3,1,880,140
Super built-up  Area,Ready To Move,Sarjapur  Road,4,1,3,2,1863,104
Super built-up  Area,Ready To Move,Singasandra,2,1,2,1,1010,29.5
Super built-up  Area,Ready To Move,Kalena Agrahara,3,1,2,1,1425,70
Super built-up  Area,Ready To Move,Vijayanagar,3,1,3,0,1450,100
Super built-up  Area,Ready To Move,Kothanur,3,1,3,2,1847,105
Super built-up  Area,Ready To Move,AECS Layout,2,1,2,3,1100,45
Super built-up  Area,20-Dec,Kanakpura Road,1,1,1,1,525,26
Super built-up  Area,Ready To Move,Mallasandra,3,1,3,2,1665,95
Super built-up  Area,Ready To Move,Begur,4,1,4,3,1664,65
Super built-up  Area,Ready To Move,JP Nagar,3,1,3,3,1850,150
Super built-up  Area,Ready To Move,Panathur,2,1,2,3,1438,100
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3,1,3,3,1560,115
Super built-up  Area,18-Apr,Yelahanka,2,1,2,1,1350,55.55
Super built-up  Area,Ready To Move,Kanakpura Road,3,1,3,3,1550,67
Super built-up  Area,18-Apr,Malleshpalya,2,1,2,2,1140,46.5
Plot  Area,Ready To Move,Srirampura,5,1,5,2,1200,180
Super built-up  Area,18-Dec,Kodathi,2,1,2,2,850,27
Super built-up  Area,Ready To Move,Whitefield,2,1,2,2,1280,75
Built-up  Area,Ready To Move,Munnekollal,2,1,2,2,1170,52
Super built-up  Area,Ready To Move,Motappa Layout,2,1,2,1,1113,51
Super built-up  Area,Ready To Move,Hennur Road,2,1,2,1,1385,83.09
Super built-up  Area,18-Apr,Electronic City,2,1,2,1,1128,65
Plot  Area,Ready To Move,Marathahalli,2,1,2,2,1200,128
Plot  Area,Ready To Move,Akshaya Vana,4,1,4,3,1200,165
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1,3,2,2390,415
Plot  Area,Ready To Move,Giri Nagar,4,1,4,1,2400,400
Super built-up  Area,Ready To Move,Haralur Road,3,1,3,2,1464,56
Super built-up  Area,Ready To Move,Manayata Tech Park,2,1,2,2,1200,55
Super built-up  Area,Ready To Move,Kaval Byrasandra,2,1,2,2,1200,52
Super built-up  Area,Ready To Move,Kaggalipura,3,1,2,1,1150,55
Built-up  Area,Ready To Move,Basavanna Nagar,3,1,3,2,1645,95
Super built-up  Area,20-Mar,Sarjapur  Road,2,1,2,1,1000,67
Plot  Area,Ready To Move,Haralur Road,4,1,4,2,2650,198
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,1,2,2,1192,74
Super built-up  Area,Ready To Move,Ulsoor,3,1,3,2,2135,215
Super built-up  Area,19-Dec,Whitefield,2,1,2,1,1173,58
Built-up  Area,Ready To Move,Uttarahalli,2,1,2,2,1020,45
Super built-up  Area,Ready To Move,Thigalarapalya,4,1,6,2,3122,230
Super built-up  Area,Ready To Move,Somasundara Palya,3,1,3,3,1600,64
Plot  Area,18-Mar,T.C PALYA,2,1,2,0,1200,79
Carpet  Area,Ready To Move,Muneshwara Nagar,2,1,2,3,1230,48
Super built-up  Area,Ready To Move, Devarachikkanahalli,2,1,2,2,1250,40
Super built-up  Area,Ready To Move,Kalena Agrahara,2,1,2,2,1325,76
Built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,3,1,1850,150
Super built-up  Area,21-Dec,Kanakpura Road,1,1,2,1,525,21.53
Super built-up  Area,Ready To Move,Basaveshwara Nagar,2,1,2,2,1200,65
Plot  Area,Ready To Move,Bull Temple Road,3,1,2,0,1350,140
Super built-up  Area,18-Jun,Bommasandra,3,1,3,1,1260,49.36
Super built-up  Area,Ready To Move,Prashanth Nagar,3,1,3,0,1800,150
Plot  Area,18-Dec,Suragajakkanahalli,3,1,3,2,11,74
Built-up  Area,Ready To Move,Ardendale,2,1,2,1,1100,43.25
Super built-up  Area,Ready To Move,Harlur,2,1,2,1,1508,77
Carpet  Area,Ready To Move,Sampigehalli,3,1,3,2,1592,75
Super built-up  Area,Ready To Move,Akshaya Nagar,2,1,2,3,1388,57
Super built-up  Area,18-May,Electronic City Phase II,1,1,1,1,630,28.35
Plot  Area,Ready To Move,RMV,3,1,3,2,2000,365
Super built-up  Area,Ready To Move,Banashankari3rd stage bigbazar,3,1,3,1,1762,125
Super built-up  Area,21-Dec,Bagalur Main Road,2,1,2,2,950,50
Super built-up  Area,Ready To Move,Kodihalli,4,1,5,3,3252,335
Super built-up  Area,18-Aug,Magadi Road,2,1,2,1,1116,50
Super built-up  Area,Ready To Move,Narayanapura,2,1,2,2,1308,89.04
Super built-up  Area,Ready To Move,MS Pallya,3,1,3,0,1200,90
Plot  Area,Ready To Move,Binny Mills Employees Colony,4,1,4,2,1500,230
Built-up  Area,Ready To Move,Bannerghatta Road,1,1,1,1,500,18.5
Super built-up  Area,Ready To Move,Hennur,2,1,2,1,1075,52
Super built-up  Area,18-Mar,Chandapura,1,1,1,0,530,11.66
Built-up  Area,Ready To Move,Bellandur,2,1,2,3,1205,66
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,1,2,2,1075,60
Built-up  Area,Ready To Move,KR Puram,2,1,2,2,930,39
Super built-up  Area,Ready To Move,Balagere,2,1,2,1,1380,60
Super built-up  Area,Ready To Move,Hebbal,4,1,5,2,2483,212
Built-up  Area,Ready To Move,Kodigehaali,2,1,2,2,1166,55
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1,2,1,1050,65
Super built-up  Area,19-Mar,Gopalapura,3,1,3,2,2023.71,275
Super built-up  Area,Ready To Move,Begur Road,2,1,2,2,1200,46.8
